time,PN_m,PE_m,PD_m,P_m
39.100001,1070.077018,190.759883,-1.558222,1086.948291
39.200001,1072.465148,192.636087,-0.944551,1089.628858
39.300001,1075.123699,194.14241,-0.4807,1092.512002
39.400001,1078.114754,194.828003,-0.134998,1095.577196
39.500001,1081.209749,194.909077,-0.0167,1098.637369
39.600001,1084.2892,195.148424,-0.207757,1101.710497
39.700001,1087.17024,196.14964,-0.682223,1104.723621
39.800001,1089.689429,197.814634,-1.361485,1107.499677
39.900001,1092.09783,199.532898,-2.276686,1110.178468
40.000001,1094.691105,200.661688,-3.51437,1112.935793
40.100001,1097.373746,200.998263,-5.015263,1115.640889
40.200001,1100.011105,201.052602,-6.641762,1118.253412
40.300001,1102.606503,201.595282,-8.228189,1120.914565
40.400001,1105.059496,202.934346,-9.544934,1123.579078
40.500001,1107.391869,204.683364,-10.596082,1126.199054
40.600001,1109.865224,206.174539,-11.703663,1128.913518
40.700001,1112.53215,206.898322,-13.080157,1131.682725
40.800001,1115.244745,206.928544,-14.573737,1134.373245
40.900001,1118.068482,206.880727,-15.842574,1137.157752
41.000001,1121.049406,207.311786,-16.520563,1140.176686
41.100001,1124.011309,208.207626,-16.497134,1143.251501
41.200001,1126.969209,209.053253,-16.122202,1146.308329
41.300001,1130.043079,209.290209,-15.927451,1149.370887
41.400001,1133.075811,208.742304,-16.161214,1152.256624
41.500001,1135.984011,207.738021,-16.532772,1154.94073
41.600001,1138.91935,206.770335,-16.460343,1157.653748
41.700001,1141.820702,206.154675,-15.599936,1160.386842
41.800001,1144.561472,205.790516,-14.201541,1163.001455
41.900001,1147.316127,205.278136,-12.886267,1165.606908
42.000001,1150.190828,204.367514,-12.223734,1168.269849
42.100001,1153.058085,203.200021,-12.258153,1170.890028
42.200001,1155.943858,202.080898,-12.397881,1173.540199
42.300001,1158.887465,201.261179,-11.95009,1176.294616
42.400001,1161.714125,200.851368,-10.765143,1178.998248
42.500001,1164.467999,200.754127,-9.346783,1181.683249
42.600001,1167.411827,200.827393,-8.408532,1184.589684
42.700001,1170.493337,201.047987,-8.347777,1187.663517
42.800001,1173.520991,201.498775,-8.83764,1190.727247
42.900001,1176.509668,202.261075,-9.088642,1193.803646
43.000001,1179.368408,203.284513,-8.526693,1196.790349
43.100001,1181.952822,204.466821,-7.29574,1199.530067
43.200001,1184.4222,205.878521,-6.070816,1202.197475
43.300001,1186.910138,207.619556,-5.510651,1204.94478
43.400001,1189.286722,209.589946,-5.723184,1207.627263
43.500001,1191.562578,211.654818,-6.128306,1210.230018
43.600001,1193.900111,213.670278,-5.982635,1212.884271
43.700001,1196.275973,215.406537,-5.035442,1215.52521
43.800001,1198.658014,216.89914,-3.727869,1218.129783
43.900001,1201.125847,218.497871,-2.768405,1220.84081
44.000001,1203.582985,220.363646,-2.621921,1223.592666
44.100001,1205.951147,222.298379,-3.121115,1226.272596
44.200001,1208.486299,223.995457,-3.648583,1229.075429
44.300001,1211.35983,225.125821,-3.698312,1232.107118
44.400001,1214.397514,225.591298,-3.31654,1235.177621
44.500001,1217.480647,225.761076,-3.046143,1238.239261
44.600001,1220.520698,226.148694,-3.436917,1241.300052
44.700001,1223.291524,226.913813,-4.578272,1244.16759
44.800001,1225.866593,227.727226,-6.100643,1246.854367
44.900001,1228.579104,228.058555,-7.546406,1249.58964
45.000001,1231.44236,227.615864,-8.621022,1252.331262
45.100001,1234.278045,226.676986,-9.450467,1254.955799
45.200001,1237.090526,225.88573,-10.472411,1257.587772
45.300001,1239.820595,225.777056,-11.912862,1260.266758
45.400001,1242.378569,226.307775,-13.578186,1262.89512
45.500001,1244.974291,226.87389,-15.172665,1265.568235
45.600001,1247.782846,226.834172,-16.457727,1268.340108
45.700001,1250.661435,226.087333,-17.313404,1271.050456
45.800001,1253.574413,225.183629,-17.868318,1273.764402
45.900001,1256.616988,224.857019,-18.303171,1276.707461
46.000001,1259.641274,225.421474,-18.613364,1279.788044
46.100001,1262.563505,226.458263,-18.678421,1282.847938
46.200001,1265.560432,227.186563,-18.426231,1285.922419
46.300001,1268.602372,227.076787,-17.897897,1288.889514
46.400001,1271.51625,226.319213,-17.163779,1291.614709
46.500001,1274.370033,225.636302,-16.17372,1294.292205
46.600001,1277.168357,225.66555,-14.866784,1297.036998
46.700001,1279.752831,226.410197,-13.332187,1299.694823
46.800001,1282.249974,227.254465,-11.700876,1302.285106
46.900001,1284.909842,227.509868,-10.149071,1304.935648
47.000001,1287.685688,226.987103,-8.887996,1307.568955
47.100001,1290.488335,226.171445,-7.840435,1310.181338
47.200001,1293.326169,225.784228,-6.673337,1312.903511
47.300001,1296.034897,226.216393,-5.249875,1315.63972
47.400001,1298.570574,227.22235,-3.777117,1318.305654
47.500001,1301.258764,228.215891,-2.60609,1321.12212
47.600001,1304.255152,228.750469,-2.076213,1324.164865
47.700001,1307.347777,228.899407,-2.207114,1327.236987
47.800001,1310.407987,229.219971,-2.583848,1330.307319
47.900001,1313.327749,230.224586,-2.700509,1333.356828
48.000001,1315.907236,231.910541,-2.412978,1336.188675
48.100001,1318.268259,233.896225,-2.101011,1338.858866
48.200001,1320.712787,235.773752,-2.339062,1341.594946
48.300001,1323.218493,237.270862,-3.359218,1344.327313
48.400001,1325.650279,238.541131,-4.805416,1346.949749
48.500001,1328.058089,240.045811,-6.037169,1349.591318
48.600001,1330.420956,241.968499,-6.555004,1352.261677
48.700001,1332.692931,244.075192,-6.456762,1354.874473
48.800001,1335.040824,246.096408,-6.407613,1357.548711
48.900001,1337.537923,247.80508,-7.032009,1360.317795
49.000001,1340.045539,249.077294,-8.329128,1363.022714
49.100001,1342.632909,250.079708,-9.712493,1365.758881
49.200001,1345.473528,251.018571,-10.48977,1368.729109
49.300001,1348.452339,251.850419,-10.392337,1371.80915
49.400001,1351.457849,252.428708,-9.883984,1374.865907
49.500001,1354.538565,252.694718,-9.767469,1377.942215
49.600001,1357.542691,252.670397,-10.495429,1380.896318
49.700001,1360.352272,252.400068,-11.779141,1383.619473
49.800001,1363.188774,251.865268,-12.901271,1386.321099
49.900001,1366.141865,251.0361,-13.273299,1389.078435
50.000001,1369.037331,249.983305,-12.9418,1391.73358
50.100001,1371.89556,248.839406,-12.577075,1394.337355
50.200001,1374.792282,247.803614,-12.872507,1397.006138
50.300001,1377.602754,247.05362,-13.93174,1399.649574
50.400001,1380.369075,246.482369,-15.214137,1402.285211
50.500001,1383.274027,245.787083,-16.016396,1405.031974
50.600001,1386.221184,244.851702,-15.980532,1407.770189
50.700001,1389.113682,243.892087,-15.40438,1410.44584
50.800001,1392.11505,243.296921,-14.933484,1413.294277
50.900001,1395.204114,243.388923,-14.991042,1416.353564
51.000001,1398.192496,244.106501,-15.404752,1419.425076
51.100001,1401.151477,245.014203,-15.580375,1422.497863
51.200001,1404.129632,245.626984,-15.026116,1425.530927
51.300001,1406.951971,245.822187,-13.765859,1428.331857
51.400001,1409.632766,246.027524,-12.220293,1430.993855
51.500001,1412.27888,246.833217,-10.839264,1433.727925
51.600001,1414.763358,248.391034,-9.852337,1436.436749
51.700001,1417.077185,250.290159,-9.036667,1439.039462
51.800001,1419.470392,251.921347,-7.94596,1441.673921
51.900001,1422.011723,252.832632,-6.43965,1444.327923
52.000001,1424.599509,253.1769,-4.764866,1446.92951
52.100001,1427.23858,253.658038,-3.214639,1449.607774
52.200001,1429.829582,254.847615,-2.022014,1452.364978
52.300001,1432.236002,256.644724,-1.2593,1455.049162
52.400001,1434.69652,258.462856,-0.754104,1457.792071
52.500001,1437.512443,259.671604,-0.345371,1460.777699
52.600001,1440.573766,260.049705,-0.072903,1463.857448
52.700001,1443.676989,260.094587,-0.064096,1466.919373
52.800001,1446.71389,260.597971,-0.378803,1469.997457
52.900001,1449.453856,261.909295,-0.961417,1472.926978
53.000001,1451.885273,263.665078,-1.754445,1475.633151
53.100001,1454.362279,265.187276,-2.82072,1478.344306
53.200001,1457.02762,265.948343,-4.188711,1481.106192
53.300001,1459.705291,266.043118,-5.749457,1483.762627
53.400001,1462.338777,266.178164,-7.379948,1486.384868
53.500001,1464.901673,267.017481,-8.89057,1489.064904
53.600001,1467.291864,268.57165,-10.10206,1491.70312
