Time,Value_1,Value_2,Value_3
4.45,0.383943,2.87528,1.02561
4.4625,0.423603,2.83635,0.993136
4.475,0.46165,2.76144,0.941649
4.4875,0.495763,2.65213,0.870972
4.5,0.52386,2.51054,0.780942
4.5125,0.544194,2.33931,0.671505
4.525,0.555448,2.14146,0.542837
4.5375,0.556824,1.92039,0.395466
4.55,0.548118,1.67971,0.230377
4.5625,0.529771,1.42323,0.0490988
4.575,0.502876,1.15484,-0.146256
4.5875,0.469145,0.878473,-0.353001
4.6,0.430811,0.598058,-0.567944
4.6125,0.3905,0.317483,-0.787499
4.625,0.35104,0.040589,-1.00785
4.6375,0.315271,-0.228838,-1.22513
4.65,0.285835,-0.487073,-1.43559
4.6625,0.264993,-0.730467,-1.63576
4.675,0.254472,-0.955474,-1.8226
4.6875,0.255361,-1.1587,-1.99351
4.7,0.268056,-1.33694,-2.1464
4.7125,0.292259,-1.48731,-2.2796
4.725,0.327011,-1.60725,-2.39185
4.7375,0.370766,-1.6947,-2.48214
4.75,0.421491,-1.74809,-2.54967
4.7625,0.476771,-1.76649,-2.59371
4.775,0.53394,-1.7496,-2.61356
4.7875,0.59021,-1.69783,-2.60852
4.8,0.642815,-1.61224,-2.57795
4.8125,0.689153,-1.49458,-2.52123
4.825,0.726937,-1.34717,-2.43797
4.8375,0.754345,-1.17286,-2.32806
4.85,0.770148,-0.97491,-2.19182
4.8625,0.77382,-0.756884,-2.03014
4.875,0.765602,-0.52253,-1.84454
4.8875,0.746515,-0.275669,-1.63724
4.9,0.718322,-0.0201067,-1.41111
4.9125,0.683412,0.240438,-1.16966
4.925,0.644651,0.502375,-0.916845
4.9375,0.605181,0.762257,-0.656924
4.95,0.568207,1.01677,-0.394273
4.9625,0.53678,1.26275,-0.133196
4.975,0.513602,1.49709,0.122246
4.9875,0.500864,1.71684,0.368356
5,0.500122,1.91911,0.601879
5.0125,0.512228,2.10118,0.820029
5.02499,0.537292,2.26048,1.02046
5.03749,0.574683,2.39471,1.2012
5.04999,0.623067,2.50189,1.36055
5.06249,0.680448,2.58047,1.49699
5.07499,0.744246,2.62937,1.60905
5.08749,0.811368,2.64811,1.69524
5.09999,0.878307,2.63682,1.75394
5.11249,0.941252,2.59628,1.78346
5.12499,0.996218,2.52793,1.782
5.13749,1.03921,2.4338,1.74777
5.14999,1.0664,2.31645,1.67911
5.16249,1.07435,2.17885,1.57473
5.17499,1.0602,2.02421,1.43384
5.18749,1.02193,1.85583,1.25642
5.19999,0.958509,1.67691,1.04343
5.21249,0.870035,1.49042,0.79691
5.22499,0.757838,1.29893,0.520114
5.23749,0.624456,1.10454,0.217493
5.24999,0.473561,0.90889,-0.105378
5.26249,0.309803,0.713175,-0.441969
5.27499,0.138582,0.518269,-0.785019
5.28749,-0.0342243,0.324872,-1.12683
5.29999,-0.202574,0.133684,-1.45957
5.31249,-0.360587,-0.0544139,-1.77565
5.32499,-0.502874,-0.238213,-2.068
5.33749,-0.624836,-0.416074,-2.33043
5.34999,-0.722913,-0.585885,-2.55783
5.36249,-0.794761,-0.745097,-2.74635
5.37499,-0.839332,-0.890821,-2.8935
5.38749,-0.856855,-1.01998,-2.99807
5.39999,-0.848723,-1.1295,-3.06007
5.41249,-0.817293,-1.2165,-3.08049
5.42499,-0.765639,-1.27846,-3.06109
5.43749,-0.697276,-1.31344,-3.00415
5.44999,-0.615893,-1.32012,-2.91225
5.46249,-0.525107,-1.29792,-2.78809
5.47499,-0.42826,-1.24703,-2.63436
5.48749,-0.328263,-1.16835,-2.45365
5.49999,-0.227484,-1.0635,-2.24847
5.51249,-0.127684,-0.934701,-2.02122
5.52499,-0.029995,-0.784728,-1.77427
5.53749,0.0650747,-0.616786,-1.50998
5.54999,0.157593,-0.434435,-1.23076
5.56249,0.248132,-0.241491,-0.939075
5.57499,0.337676,-0.0419516,-0.63751
5.58749,0.427495,0.16008,-0.328733
5.59999,0.519021,0.36046,-0.0154942
5.61249,0.613694,0.555066,0.299391
5.62499,0.712818,0.739856,0.61306
5.63749,0.817414,0.910934,0.922612
5.64999,0.928075,1.06462,1.22509
5.66249,1.04484,1.19755,1.51748
5.67498,1.1671,1.30674,1.7966
5.68748,1.29347,1.38972,2.05913
5.69998,1.42182,1.44464,2.30146
5.71248,1.54916,1.4704,2.5197
5.72498,1.6718,1.4667,2.70966
5.73748,1.78539,1.4342,2.86691
5.74998,1.88513,1.37447,2.98685
5.76248,1.96605,1.29005,3.065
5.77498,2.02335,1.18433,3.0972
5.78748,2.05273,1.06138,3.08
5.79998,2.05083,0.925781,3.01096
5.81248,2.01548,0.782266,2.889
5.82498,1.94596,0.635474,2.71458
5.83748,1.84307,0.48961,2.48984
5.84998,1.70909,0.348193,2.21848
5.86248,1.54756,0.213856,1.90564
5.87498,1.36304,0.0882435,1.55765
5.88748,1.16077,-0.0279955,1.18165
5.89998,0.946379,-0.135123,0.785319
5.91248,0.725604,-0.234147,0.376594
