Time,Value_1,Value_2,Value_3,Value_4,Value_5,Value_6,Value_7,Value_8,Value_9
48.2001,4.10384,0.204588,0.600156,101.269,0,0,4404.52,-82.0692,100.284
48.4001,4.18101,0.484839,0.505565,101.269,0,0,4429.17,-80.9125,103.331
48.6001,4.35331,0.0352448,0.735021,101.269,0,0,4453.24,-83.9795,107.627
48.8001,4.45958,0.0660164,0.665232,101.269,0,0,4475.55,-95.1506,110.43
49.0001,4.48958,0.491645,0.418206,101.269,0,0,4500.12,-97.4527,110.073
49.2001,4.55301,0.103033,0.302754,101.269,0,0,4524.75,-97.6151,105.93
49.4001,4.67644,-0.142587,0.135189,101.269,0,0,4546.06,-107.063,96.8536
49.6001,4.76351,0.372182,-0.0488655,101.269,0,0,4566.1,-111.248,82.8912
49.8001,4.79666,0.270048,-0.231814,101.269,0,0,4584.14,-107.963,65.6345
50.0001,4.89457,-0.151789,-0.381468,101.269,0,0,4600.05,-109.386,46.3207
50.2001,5.00802,0.244658,-0.306471,101.269,0,0,4614.49,-109.306,25.8369
50.4001,5.15055,0.386839,-0.202433,101.269,0,0,4627.66,-101.336,5.94735
50.6001,5.23463,-0.125393,-0.337495,101.269,0,0,4644.21,-95.4461,-11.853
50.8001,5.30304,-0.0702905,-0.0925936,101.269,0,0,4664.37,-91.959,-26.5548
51.0001,5.4317,0.133306,0.300728,101.269,0,0,4683.06,-78.9312,-36.7693
51.2001,5.56273,-0.313178,0.123684,101.269,0,0,4703.83,-65.9342,-41.7272
51.4001,5.64362,-0.515308,0.15255,101.269,0,0,4728.76,-61.7189,-41.6138
51.6001,5.54823,-0.271437,0.657971,101.269,0,0,4750.81,-50.9448,-37.4236
51.8001,5.7206,-0.440959,0.482484,101.269,0,0,4770.2,-36.3231,-30.1296
52.0001,6.01821,-0.562249,0.0982712,101.269,0,0,4793.48,-31.8328,-21.7394
52.2001,5.92169,-0.319792,0.560738,101.269,0,0,4816.94,-26.1205,-14.6437
