time,VN_m_per_sec,VE_m_per_sec,VD_m_per_sec,V_m_per_sec
12.5,25.960945,1.665788,16.613125,30.86651
12.525,26.085241,1.592583,16.424586,30.866538
12.55,26.245792,2.054164,16.113176,30.865768
12.575,26.411146,3.023017,15.681895,30.864366
12.6,26.532211,4.438755,15.127517,30.86264
12.625,26.554364,6.209707,14.446615,30.860969
12.65,26.432396,8.217894,13.642468,30.859719
12.675,26.144702,10.32849,12.73047,30.859164
12.7,25.702854,12.403047,11.740169,30.859421
12.725,25.153727,14.313783,10.713139,30.860424
12.75,24.573409,15.955238,9.697281,30.861939
12.775,24.054445,17.250272,8.73927,30.863621
12.8,23.689642,18.149468,7.877246,30.865083
12.825,23.55602,18.625486,7.135449,30.865992
12.85,23.701839,18.665729,6.521633,30.866136
12.875,24.138482,18.266997,6.027276,30.865475
12.9,24.838085,17.434676,5.630042,30.864151
12.925,25.737285,16.18691,5.297822,30.86245
12.95,26.746939,14.561931,4.993703,30.860746
12.975,27.766825,12.625105,4.681201,30.859415
13,28.702962,10.471954,4.329028,30.858748
13.025,29.483907,8.224716,3.91464,30.85889
13.05,30.07194,6.022371,3.425943,30.859805
13.075,30.466061,4.006581,2.860998,30.861284
13.1,30.696013,2.307299,2.226081,30.862992
13.125,30.80919,1.031451,1.532976,30.864544
13.15,30.854251,0.256293,0.796423,30.865592
13.175,30.865872,0.026904,0.032441,30.865901
13.2,30.854421,0.355917,-0.742319,30.865402
13.225,30.802924,1.223628,-1.51057,30.864206
13.25,30.671993,2.577861,-2.254432,30.862583
13.275,30.411631,4.334538,-2.956246,30.860896
13.3,29.977157,6.380957,-3.600522,30.859526
13.325,29.345231,8.583473,-4.176826,30.858783
13.35,28.525535,10.799654,-4.682861,30.858837
13.375,27.564671,12.892862,-5.126699,30.859683
13.4,26.541007,14.745642,-5.527262,30.861135
13.425,25.551888,16.268337,-5.912629,30.862873
13.45,24.696685,17.40103,-6.31635,30.864517
13.475,24.059772,18.109475,-6.77244,30.865704
13.5,23.696829,18.377872,-7.309926,30.866177
13.525,23.62648,18.202248,-7.947808,30.865839
13.55,23.828005,17.587582,-8.691221,30.864773
13.575,24.245138,16.549933,-9.529516,30.863225
13.6,24.795466,15.122538,-10.436901,30.861549
13.625,25.384392,13.362941,-11.375937,30.860128
13.65,25.921566,11.357398,-12.30356,30.859288
13.675,26.336654,9.219589,-13.178458,30.859227
13.7,26.590779,7.08275,-13.967913,30.859965
13.725,26.68073,5.086826,-14.65215,30.861346
13.75,26.634867,3.364087,-15.224837,30.863066
13.775,26.502084,2.026773,-15.689628,30.864748
13.8,26.337031,1.159017,-16.053935,30.866022
13.825,26.185492,0.813155,-16.32196,30.86661
13.85,26.073353,1.008927,-16.489271,30.866385
13.875,26.001379,1.733673,-16.540732,30.865403
13.9,25.946641,2.942486,-16.452754,30.863887
