time,phi_dot_deg_per_sec,theta_dot_deg_per_sec,psi_dot_deg_per_sec
11.725,1.014564,-2.488417,-1.72821
11.75,1.062311,-2.248465,-1.583911
11.775,1.027294,-1.934006,-1.296601
11.8,0.894765,-1.570737,-0.867501
11.825,0.666935,-1.181667,-0.314202
11.85,0.364977,-0.783564,0.327063
11.875,0.026227,-0.386664,1.00418
11.9,-0.302989,0.002117,1.656546
11.925,-0.577208,0.374174,2.225179
11.95,-0.761817,0.71517,2.662823
11.975,-0.84021,1.004329,2.940978
12,-0.815647,1.217576,3.051525
12.025,-0.707348,1.333025,3.002806
12.05,-0.542911,1.336361,2.812671
12.075,-0.350273,1.22418,2.501995
12.1,-0.151627,1.004693,2.091
12.125,0.039865,0.696261,1.598599
12.15,0.220765,0.324781,1.043468
12.175,0.395945,-0.07918,0.445302
12.2,0.575507,-0.48291,-0.174727
12.225,0.770601,-0.85367,-0.794299
12.25,0.98881,-1.160705,-1.390351
12.275,1.229854,-1.377631,-1.938699
12.3,1.482372,-1.485457,-2.41262
12.325,1.722653,-1.476033,-2.781276
12.35,1.91655,-1.35495,-3.009916
12.375,2.025644,-1.142345,-3.063986
12.4,2.0173,-0.870037,-2.917564
12.425,1.875354,-0.574616,-2.563231
12.45,1.606323,-0.288362,-2.018184
12.475,1.237915,-0.031596,-1.323
12.5,0.811356,0.190309,-0.534136
12.525,0.372286,0.384408,0.285401
12.55,-0.036092,0.563798,1.073599
12.575,-0.377101,0.740141,1.774521
12.6,-0.623432,0.917712,2.342096
12.625,-0.759794,1.090778,2.743429
12.65,-0.784836,1.244923,2.961035
12.675,-0.710879,1.361626,2.992778
12.7,-0.560677,1.42419,2.849093
12.725,-0.362022,1.422814,2.548671
12.75,-0.142038,1.357297,2.114527
12.775,0.077122,1.236977,1.5718
12.8,0.2804,1.078543,0.947386
12.825,0.459795,0.902769,0.270525
12.85,0.612716,0.731122,-0.426688
12.875,0.739476,0.582875,-1.109585
12.9,0.840787,0.472912,-1.742138
12.925,0.916049,0.41025,-2.288946
12.95,0.962982,0.397255,-2.717691
12.975,0.978662,0.4297,-3.00176
13,0.961517,0.497828,-3.12268
13.025,0.913363,0.588431,-3.071946
13.05,0.84056,0.687525,-2.85185
13.075,0.753745,0.782893,-2.475132
13.1,0.666241,0.865714,-1.963643
13.125,0.591746,0.930883,-1.34643
13.15,0.542017,0.976154,-0.657668
13.175,0.525047,1.000712,0.065314
13.2,0.543922,1.003921,0.78385
13.225,0.596347,0.984874,1.459622
13.25,0.674854,0.94295,2.056273
13.275,0.767731,0.879186,2.541036
13.3,0.860743,0.79782,2.886474
13.325,0.939494,0.707241,3.072351
13.35,0.991914,0.619691,3.087449
13.375,1.010132,0.549554,2.930919
13.4,0.99104,0.510639,2.612682
13.425,0.935395,0.513264,2.152617
13.45,0.845935,0.561978,1.578654
13.475,0.725472,0.654381,0.924208
13.5,0.575874,0.781124,0.225462
13.525,0.39843,0.926919,-0.481056
13.55,0.195496,1.0724,-1.160267
13.575,-0.027155,1.196747,-1.779474
13.6,-0.258141,1.280949,-2.308433
13.625,-0.479344,1.311316,-2.718949
13.65,-0.666636,1.282487,-2.984864
13.675,-0.792861,1.198895,-3.083369
13.7,-0.832754,1.073748,-2.998094
13.725,-0.768475,0.925248,-2.723234
13.75,-0.593828,0.770916,-2.266987
13.775,-0.315705,0.621907,-1.652684
13.8,0.047159,0.479442,-0.917326
13.825,0.466622,0.334767,-0.108678
13.85,0.907281,0.172828,0.717757
13.875,1.32831,-0.021286,1.501721
13.9,1.686645,-0.25493,2.182477
13.925,1.943292,-0.52197,2.705822
13.95,2.072229,-0.800915,3.033166
13.975,2.068047,-1.058526,3.148945
14,1.947472,-1.257887,3.061899
14.025,1.743172,-1.367606,2.799054
14.05,1.493133,-1.368557,2.395998
14.075,1.230713,-1.256448,1.888576
14.1,0.97866,-1.04071,1.308814
14.125,0.747471,-0.741389,0.684633
14.15,0.536978,-0.385598,0.041273
14.175,0.339871,-0.004431,-0.597411
14.2,0.146188,0.369508,-1.208518
14.225,-0.05205,0.704285,-1.770251
14.25,-0.256813,0.97096,-2.261878
14.275,-0.461333,1.146289,-2.663042
14.3,-0.649257,1.215594,-2.952694
14.325,-0.796237,1.175056,-3.108828
14.35,-0.874344,1.03244,-3.110453
14.375,-0.859076,0.805335,-2.942514
14.4,-0.737341,0.516769,-2.602623
14.425,-0.513558,0.189388,-2.106732
14.45,-0.211117,-0.159514,-1.490663
14.475,0.131584,-0.519838,-0.806325
14.5,0.469012,-0.886546,-0.113822
14.525,0.757785,-1.254799,0.52809
14.55,0.965098,-1.614946,1.070787
14.575,1.074497,-1.949955,1.481785
14.6,1.087692,-2.236509,1.7465
14.625,1.022103,-2.449144,1.865518
14.65,0.90537,-2.565542,1.848945
14.675,0.768926,-2.570936,1.710501
14.7,0.642367,-2.460398,1.463719
14.725,0.549213,-2.238805,1.121224
14.75,0.503907,-1.919038,0.696629
14.775,0.509866,-1.519399,0.207594
14.8,0.558955,-1.061265,-0.321754
14.825,0.63307,-0.567772,-0.860643
14.85,0.708235,-0.063678,-1.374404
14.875,0.760631,0.424205,-1.829478
14.9,0.772839,0.8671,-2.198773
14.925,0.738207,1.235734,-2.465106
14.95,0.661938,1.503242,-2.621413
14.975,0.558976,1.648678,-2.668165
15,0.449894,1.659984,-2.609804
15.025,0.35614,1.535518,-2.452254
15.05,0.295492,1.283842,-2.202679
15.075,0.278221,0.922018,-1.871316
15.1,0.304495,0.473108,-1.474042
15.125,0.363935,-0.036253,-1.033772
15.15,0.437992,-0.577528,-0.579243
15.175,0.504878,-1.121007,-0.141083
15.2,0.545528,-1.636112,0.253332
15.225,0.548485,-2.092073,0.583972
15.25,0.512185,-2.459494,0.839513
15.275,0.444513,-2.712754,1.015768
15.3,0.360586,-2.832632,1.112379
15.325,0.279906,-2.808434,1.129529
15.35,0.223392,-2.639086,1.06622
15.375,0.210021,-2.332959,0.921057
15.4,0.252618,-1.906522,0.695674
15.425,0.353129,-1.38223,0.39973
15.45,0.499203,-0.786431,0.055008
15.475,0.664869,-0.14804,-0.304597
15.5,0.816971,0.501755,-0.639028
15.525,0.925606,1.129409,-0.912181
15.55,0.973577,1.699748,-1.101091
